timestamp_ns,order_id,symbol,side,price,qty,is_maker,fee,realized_pnl,adverse_score,slippage_bps
1700000000126000500,o12,BTCUSDT,sell,43441.82000000,0.01000000,1,-0.08688364,0.00000000,0.00000000,0.00000000
1700000000374000500,o20,BTCUSDT,sell,43373.35000000,0.01000000,1,-0.08674670,0.00000000,0.57356705,0.00000000
1700000001156000500,o30,BTCUSDT,sell,43289.51000000,0.01000000,1,-0.08657902,0.00000000,0.47614389,0.00000000
1700000002897000500,o32,BTCUSDT,sell,43275.05000000,0.01000000,1,-0.08655010,0.00000000,0.37027427,0.00000000
1700000003051000500,o34,BTCUSDT,sell,43260.24000000,0.01000000,1,-0.08652048,0.00000000,0.35430242,0.00000000
1700000005086000500,o74,BTCUSDT,sell,42917.34000000,0.01000000,1,-0.08583468,0.00000000,0.39150355,0.00000000
1700000005625000500,o50,BTCUSDT,sell,43130.54000000,0.01000000,1,-0.08626108,0.00000000,0.39560708,0.00000000
1700000007248000500,o130,BTCUSDT,sell,42362.96000000,0.01000000,1,-0.08472592,0.00000000,0.38786922,0.00000000
1700000007872000500,o222,BTCUSDT,sell,41408.99000000,0.01000000,1,-0.08281798,0.00000000,0.37820331,0.00000000
1700000026735000500,o234,BTCUSDT,sell,41259.34000000,0.01000000,1,-0.08251868,0.00000000,0.50673634,0.00000000
1700000027504000500,o242,BTCUSDT,sell,41199.92000000,0.01000000,1,-0.08239984,0.00000000,0.50813861,0.00000000
1700000027599000500,o262,BTCUSDT,sell,40916.17000000,0.01000000,1,-0.08183234,0.00000000,0.51304716,0.00000000
1700000027599000500,o260,BTCUSDT,sell,40955.49000000,0.01000000,1,-0.08191098,0.00000000,0.51304716,0.00000000
1700000029478000500,o292,BTCUSDT,sell,40534.37000000,0.01000000,1,-0.08106874,0.00000000,0.52273310,0.00000000
1700000029810000500,o304,BTCUSDT,sell,40399.68000000,0.01000000,1,-0.08079936,0.00000000,0.52290719,0.00000000
1700000031016000500,o312,BTCUSDT,sell,40279.87000000,0.01000000,1,-0.08055974,0.00000000,0.52165315,0.00000000
1700000047191000500,o324,BTCUSDT,sell,40181.69000000,0.01000000,1,-0.08036338,0.00000000,0.47746929,0.00000000
1700000048442000500,o344,BTCUSDT,sell,39953.60000000,0.01000000,1,-0.07990720,0.00000000,0.46233637,0.00000000
1700000050219000500,o348,BTCUSDT,sell,39909.71000000,0.01000000,1,-0.07981942,0.00000000,0.46314275,0.00000000
1700000050717000500,o352,BTCUSDT,sell,39872.51000000,0.01000000,1,-0.07974502,0.00000000,0.44882363,0.00000000
1700000135487000500,o812,BTCUSDT,buy,31505.02000000,0.01000000,1,-0.06301004,0.00000000,0.46702921,0.00000000
1700000138484000500,o914,BTCUSDT,sell,30642.37000000,0.01000000,1,-0.06128474,-8.62650000,0.48493501,0.00000000
